"","QE_Total","QE3_Shellfish","QE2_Other","V3_Shellfish","V2_Other","QE1_Finfish","V1_Finfish","VV1_Finfish","PC1_Finfish","PI1_Finfish","Q1_Finfish","VV2_Other","PC2_Other","PI2_Other","Q2_Other","VV3_Shellfish","PC3_Shellfish","PI3_Shellfish","Q3_Shellfish","VV_Total","R1_Finfish","R2_Other","V_Total","R3_Shellfish","PC_Total","QC1_Finfish","QC2_Other","QC3_Shellfish","QC_Total","PI_Total","Q_Total","QI_Total","QEI_Total"
"1950",50357945,38375725,149396,184066500,73800,11774702,386015400,386009900,0,4.7847990390388,80675363.134487,69000,0,28.3714505767447,2432.02228287042,184066500,0,5.96946360993594,30834679.9691732,570145400,0.677035062527657,0.000129438327109595,570155700,0.322835499145233,0,0,0,0,0,4.89231075529025,116541186.4697,0.098416992198582,0.0749181456847552
"1951",63623145,48609044,127611,220780600,528700,14820210,427845200,427844700,-0.180091966787775,3.99623256732561,107062137.348609,515700,0.0131080963172914,28.7457943909195,17940.0156066971,220780600,-0.0391084000042159,5.74051355465745,38460078.1616262,649141000,0.659080696505994,0.000814444019104851,649154500,0.340104859474902,-0.133268939561829,0.189044446496854,0.000943085048863785,0.0732485264630895,0.263236058008807,4.2818955600238,151604468.371571,0.128027320065721,0.0946529499174818
"1952",68220786,53301734,184991,226723800,1437900,14665665,530895200,530890700,0.262803175066687,5.19738302347515,102146637.567809,1312500,-0.357971669147903,20.0959802065436,65311.5691053791,226723800,-0.0550007146827194,5.43330693801697,41728509.4669709,758927000,0.699414233636503,0.00189432439122811,759056900,0.298691441972268,0.160456432743996,-0.0319246204554349,0.00175004786142237,0.0260513278514725,-0.00412324474254008,5.02714501815957,150991645.806528,0.127509802135536,0.101492918034612
"1953",85157157,71054260,176375,253584400,2543100,13878087,502892100,502892100,-0.134455763610166,4.54350831655469,110683653.459523,2526100,0.0213955541240108,20.5305774848593,123040.864382063,253584400,-0.166590802967014,4.59954395393826,55132509.3399475,759002600,0.662554827306172,0.00335050636373553,759019600,0.334094666330092,-0.144214359965321,0.0546604215157213,0.00166089980847317,0.0881328586179778,0.144454179942172,4.35201028217307,174406665.14717,0.147283376144728,0.126689369358213
"1954",72572237,57826081,133537,263189200,547000,14566319,490635600,490635600,-0.0551269005220482,4.29981745751904,114106146.33001,538600,-0.0181978056376092,20.16034495312,26715.8127131474,263189200,0.236248185737045,5.82526996248686,45180601.3618024,754363400,0.65038963545562,0.000725106638397671,754371800,0.348885257905982,0.0444500209963434,0.0199915224423793,-0.00311226219979814,-0.0679809965249239,-0.0511017362823428,4.54982100750365,165802522.507122,0.140017328280171,0.107966626204357
"1955",76286847,59878115,275560,248515000,830900,16083730,579933500,579933500,-0.105905618579208,3.86772682784699,149941690.769,828100,-0.00236313446799994,20.1127595945197,41172.8682038063,248515000,-0.108342757176398,5.22713113119504,47543287.8499805,829276600,0.699322206725502,0.00100195422676603,829279400,0.299675839047732,-0.106606523134124,0.18431487225576,0.000373497528129592,0.0165294868570976,0.201217856640987,4.08973988423103,202770695.319153,0.171236303180375,0.113492898039756
"1956",85377584,67415293,343259,226955400,1442600,17550147,670964100,670964100,0.0160406241717227,3.93026783772255,170717143.895415,1429300,-0.0262723433539233,19.5912311535901,72956.109230434,226955400,-0.190730825521173,4.31946590353404,52542468.2283782,899348800,0.746044446391503,0.0016040257867215,899362100,0.252351527821775,-0.0410862586609988,0.0937765211436681,0.00074541258971963,0.0275961632884071,0.122118097021795,3.9251128852096,229130250.849326,0.193496486464553,0.127017301367727
"1957",84363714,69290499,1170459,205667900,50467600,13889658,435711800,435711800,-0.0270026870756712,3.8255601024655,113894903.838837,50452600,0.00373851178610044,19.6646102810634,2565654.71061406,205667900,-0.137721773548706,3.76372812066622,54644728.1541671,691832300,0.629780299785805,0.072946154447665,691847300,0.29727354576653,-0.0562837991429739,-0.278420102855773,0.132703456709389,0.0107811659921159,-0.134935480154269,3.71029471786091,186466939.316042,0.15746806659405,0.125508954266482
"1958",86539158,69151153,1493717,209982900,71392600,15894233,527458900,527458900,-0.00741888841004907,3.79728371832267,138904263.975563,71378800,0.0123182551197039,19.9083420604864,3585371.38768934,209982900,0.0121975105209328,3.8099173582061,55114817.529499,808820600,0.65212223911347,0.0882660282500349,808834400,0.259611732636495,-0.00036591252575212,0.127234480445779,0.0269746970596454,0.00238509964405142,0.156594277149475,3.70893732290847,218077128.185528,0.184162317833485,0.128745389560278
"1959",77639851,56848746,1583705,239913000,83242400,19206185,831786700,831786700,0.123519826501612,4.29652186449697,193595360.673763,83225000,0.146388734830687,23.0468149013633,3611128.06069688,239913000,0.287427954779742,5.07859908517355,47239995.9076119,1154924700,0.720197748441242,0.0720749550994807,1154942100,0.207727296459277,0.163653570891622,0.227795006430694,0.000573871774959824,-0.0360266273754668,0.192342250830188,4.36840944128115,264385038.885294,0.223268537910078,0.115505779041633
