"","QE_Total","QE2_Other","QE3_Shellfish","V2_Other","V3_Shellfish","QE1_Finfish","V1_Finfish","VV1_Finfish","PC1_Finfish","PI1_Finfish","Q1_Finfish","VV2_Other","PC2_Other","PI2_Other","Q2_Other","VV3_Shellfish","PC3_Shellfish","PI3_Shellfish","Q3_Shellfish","VV_Total","R1_Finfish","R2_Other","V_Total","R3_Shellfish","PC_Total","QC1_Finfish","QC2_Other","QC3_Shellfish","QC_Total","PI_Total","Q_Total","QI_Total","QEI_Total"
"1950",60576490,1333569,20983948,103217900,62364600,38251554,840900900,840900400,0,22.0514952243593,38133509.3808557,103217900,0,19.3541291260765,5333120.35522853,62364600,0,14.4340644935048,4320654.10460536,1006482900,0.835484122241857,0.102553007829041,1006483400,0.0619628699291017,0,0,0,0,0,19.7215151225756,51034790.8740469,0.089004318799968,0.0661011256393986
"1951",67431668,1337095,22025553,59545200,63618200,44057294,793465700,793464200,-0.224638523332053,17.614842788537,45045289.9026923,59545200,-0.581779616314079,10.8170778964973,5504739.87242722,63618200,-0.0709881052004253,13.4449409481384,4731757.48747403,916627600,0.865634420726988,0.0649610622224409,916629100,0.0694045170505715,-0.244459275396937,0.141681926834627,0.00265283797023866,0.0059699837699052,0.150304748574771,15.4444683340112,59349993.8085559,0.103505974635024,0.0735815026348046
"1952",67295992,1518837,25856149,66545000,59027000,39908292,828709700,828709200,0.0858538691437312,19.1939621079835,43175541.1070291,66545000,-0.0227869230261627,10.5733771154909,6293637.24315724,59027000,-0.183071483625283,11.1957183382356,5272283.40484514,954281200,0.868412021314042,0.069733077769384,954281700,0.0618549009165742,0.0608877374685191,-0.0367568157445943,0.0090197692131208,0.00709895934914872,-0.0206380871823248,16.4140658344004,58138045.114942,0.101392344578973,0.0734334528497766
"1953",60111970,1871232,26170686,108416800,70464700,32051411,684839800,684839800,0.00921651738778967,19.3716813115411,35352625.7729623,108416800,0.302289379784769,14.3052789814341,7578796.62051383,70464700,0.123288817904897,12.6647207199633,5563857.39236454,863721300,0.792894420920267,0.125522897258641,863721300,0.0815826818210921,0.046009758660327,-0.16604881487757,0.0181407706860537,0.00386048562475028,-0.144047558566766,17.1869160354205,50254583.092159,0.0876436418782039,0.0655942409572057
"1954",57601534,2220940,22804715,144612700,59691000,32571620,762064300,762064000,0.0382649789743159,20.1273030172303,37862216.2814175,144612700,0.0827180379754076,15.5389016983422,9306494.29460182,59691000,0.00524184517925285,12.7312815235222,4688530.36434041,966367700,0.78858602519951,0.149645580151661,966368000,0.0617683946488294,0.04201406836613,0.0542297663529552,0.0282540292979237,-0.0122688785681711,0.0702149170827078,17.9243920052286,53913572.0596886,0.094024893079082,0.0628548507177635
"1955",57242953,2226362,25308470,151750800,61848700,29697240,741756400,741756400,0.0610763405645116,21.3949217605937,34669741.1797133,151750800,-0.00185234364975574,15.5101449543656,9783970.45588457,61848700,-0.0704562841085152,11.8651530958904,5212633.96267697,955355900,0.776418924088918,0.15884216552177,955355900,0.0647389103893115,0.0430500576627953,-0.0689278169958267,0.00771726996868625,0.00670274342910452,-0.0545078035980359,18.7128887564461,51053362.8684617,0.0890367082284996,0.0624635667768666
"1956",59272509,2629902,25352966,181143500,57106800,31277108,776922200,776922200,-0.0382980105319536,20.5910307898007,37731097.9683849,181143500,0.00758987398444251,15.6283128725874,11590726.4895964,57106800,-0.0742056281076307,11.0165662746488,5183720.46028656,1015172500,0.765310526043603,0.178436177102906,1015172500,0.0562532968534904,-0.032731786667488,0.0652285223873437,0.0285775870720056,-0.000336494635563582,0.0934696148237857,18.1102982052414,56054985.3180325,0.0977595028435955,0.0646782202859787
"1957",60809755,2767147,25713263,202528500,65845000,32304419,762407400,762407400,-0.0319278839778378,19.9439870808714,38227431.5014592,202528500,0.112458537096662,17.4884862196187,11580676.4208558,65845000,0.106900635108647,12.2594957498118,5370938.68652884,1030780900,0.739640596755334,0.196480648797431,1030780900,0.0638787544472351,0.00347744275679321,0.00983389678869569,-0.000162611652093837,0.00213112223761233,0.0118024073742142,18.1733853579658,56719256.192308,0.0989179866083172,0.0663556646374864
"1958",65480052,2611203,25581428,168527800,56973500,37273964,771961600,771961600,-0.10712585467009,17.9179292169691,43083192.8540557,168527800,-0.0888210118848224,16.002128140978,10531586.7061729,56973500,-0.134953615036744,10.7118133614282,5318753.98475052,997462900,0.773925125435743,0.168956459433228,997462900,0.0571184151310289,-0.105464760383091,0.0904957948750004,-0.0173507500127311,-0.000590685959348137,0.0725543589029212,16.354341879429,60990708.6053179,0.106367369779979,0.0714518973305709
"1959",66236498,2571316,28683918,163693200,61094800,34973316,708117000,708105500,0.00676134915809166,18.0394890838462,39253717.0375905,163693200,0.0840730083351318,17.4056476395283,9404602.65484476,61094800,-0.0487271138940764,10.2023702528592,5988294.72816656,932893500,0.759045133212921,0.175466097834185,932905000,0.0654887689528944,0.0166736467362776,-0.071349665362484,-0.0194908355883671,0.00726862116637552,-0.0835718797844756,16.6293144256717,56100027.7052803,0.0978380564523289,0.0722773319519136
"1960",61475975,1666792,26803343,45960300,66068600,33003445,739883800,739877000,0.0673536001581874,19.2963660978416,38343167.633141,45960300,-0.418051134637725,11.4586350190056,4010975.12258387,66068600,0.153778466299862,11.8983357491657,5552759.76345115,851905900,0.868497206345204,0.0539495420129316,851912700,0.0775532516418642,0.0178550749904436,-0.0190990365057013,-0.0977499697616888,-0.00540066780236959,-0.12224967406976,16.9288986723722,50322984.1755929,0.0877629328899226,0.0670826445586321
"1961",60860267,1711709,27694367,63069700,62386800,31453428,634827100,634827100,-0.00290022388254456,19.2404833913888,32994342.5581564,63069700,0.362514545577572,16.4653494840802,3830450.1256399,62386800,-0.0901582069033432,10.8725398470555,5738015.3007115,760283600,0.83498723371121,0.0829554918717173,760283600,0.0820572744170728,0.015149690528504,-0.1279659594786,-0.00315237954794179,0.00261907508034494,-0.128499263946197,17.1873187981644,44235148.5376065,0.0771457900615644,0.0664107833817104
"1962",65774625,1744489,28186277,70422900,63833000,35843759,737420300,737420300,-0.00919423374086779,19.0643926400334,38680503.1727833,70422900,0.0793327101901203,17.8248018828348,3950837.74074465,63833000,0.00126927480221123,10.8863488497751,5863582.07704494,871676200,0.845979619496322,0.080790206271549,871676200,0.0732301742321289,-0.00113385484884627,0.133636503393747,0.00253358152421219,0.00168077766660351,0.137850862584563,17.1678419174709,50773778.3345345,0.0885491147542635,0.0717733356787316
