"","QE_Total","VV_Total","V_Total","PC_Total","QC_Total","PI_Total","Q_Total","QI_Total","QEI_Total"
"1950",53973253,872533900,872965800,0,0,8.73942368124747,99888257.1482554,0.134595624285873,0.128159334627531
"1951",54741099,886231300,886716900,-0.0895058397985404,0.104497299119099,7.99117979106579,110961950.94889,0.149517005164856,0.129982582754828
"1952",55790013,877061400,877816300,0.055030111510467,-0.0655136581945709,8.44326024392652,103966509.930976,0.140090914672921,0.132473226042931
"1953",56719666,1306664800,1307120200,-0.0510082753953592,0.448795785193841,8.02338372261064,162913833.513461,0.219520189385264,0.134680684428189
"1954",62599935,1360115500,1360610000,-0.201347601524636,0.241399725856461,6.56014457722662,207405489.922177,0.279471002832291,0.148643366323069
"1955",60859731,1367678700,1369380400,0.0528224107060582,-0.0467483585822416,6.91598260496456,198002290.956748,0.26680055015678,0.144511256910354
"1956",63803500,1428842400,1429822700,-0.0274660193051624,0.0711846171567224,6.72861302041116,212498875.423903,0.286334145917427,0.151501227967632
"1957",61351557,1372947800,1373443300,0.0411075487108181,-0.0812625746609449,7.01097362334532,195899082.465048,0.263966556772317,0.145679096338385
"1958",59965076,1123914140,1124080140,-0.0536832909578247,-0.146315091607311,6.64452555671625,169173875.607083,0.227955357819491,0.142386901175835
"1959",61299701,1347686600,1347713500,0.125461295611381,0.0562744877924422,7.53270785970056,178914876.974078,0.241080986372749,0.145555964414941
"1960",56721631,1219703400,1219726500,0.139923374203217,-0.239510114600923,8.66401257315663,140780786.004285,0.18969675035554,0.134685350315059
"1961",61186719,1304228900,1304243300,-0.101484531277582,0.168333167672218,7.82789338400472,166614852.300499,0.224507171322448,0.145287688979608
"1962",58819321,1464954500,1464979700,0.0184000472707823,0.107904406160981,7.97326026980387,183736595.875107,0.247578069054367,0.139666309210659
"1963",51148061,980657400,980670800,-0.0927573245630607,-0.307046927478603,7.26694622940328,134949505.478937,0.181839321813861,0.121450924317057
"1964",56845406,906806200,906815900,-0.112589250403036,0.0378220507523537,6.49314433056475,139657437.727267,0.188183081312227,0.134979253697972
"1965",64870200,947469900,947482400,-0.0215588700568747,0.0651849636941036,6.35465764771642,149100463.396401,0.200907198954987,0.154034104061781
"1966",56814003,669593300,669601200,-0.0597757160978015,-0.2869904778957,5.98593359368917,111862450.446484,0.150730393960578,0.134904687364435
"1967",59006151,584369900,584379600,0.0330704254545848,-0.172044171973659,6.18720061469288,94449757.8779426,0.127267453534234,0.140109936510434
"1968",61723194,624381100,624388300,-0.0652486845666559,0.130997363792424,5.79638273523804,107720336.720373,0.145149053383161,0.14656154733023
"1969",61648866,491939300,491946100,-0.130123875921604,-0.109731770667659,5.0891467338888,96665733.1226303,0.13025339582591,0.146385055707163
"1970",70457999,770438300,770440400,-0.00472180384633979,0.452792086304284,5.06517342443977,152105433.603236,0.204956281925262,0.167302316779521
"1971",74047478,728916812,728935023,-0.0187987280394939,-0.0365721287066405,4.97084402108383,146642103.415079,0.19759465245701,0.175825524381988
"1972",85137083,976627069,976638599,-0.0296521767539989,0.321903162514671,4.82561154622922,202386493.32708,0.272708095967242,0.202157759685318
"1973",105067113,958489761,958517467,-0.602137828481359,0.583695890842151,2.6426960935871,362704387.131758,0.488730355408713,0.249481558825361
"1974",101857764,808898430,808917864,0.1613447162629,-0.330731693473974,3.10540567763449,260487017.791564,0.350996341101274,0.241860968818909
"1975",106007883,697806341,697818562,0.0326302614207894,-0.18026652757619,3.20840722142228,217496880.489708,0.293068767495794,0.251715414495271
"1976",143267635,856317336,856329360,-0.250970043830326,0.454153946293399,2.49628737342593,343041177.51666,0.462234928927501,0.340188588878642
"1977",157239784,885718759,885728334,-0.213475753201109,0.247248723919676,2.01643040963125,439255592.342497,0.591880190527799,0.373365416652146
"1978",175013853,802047948,802078052,0.380787371702091,-0.479896654347157,2.95091766826064,271806313.211296,0.366248660813228,0.415569892574022
"1979",217212044,877473058,877487519,-0.540137421183064,0.629964641419546,1.71940581506127,510343463.604449,0.687668391111327,0.5157693762154
"1980",231655793,968406779,968424975,-0.0704254784991587,0.168005410191868,1.60248138942623,604328375.599259,0.814309482512282,0.550066016837877
"1981",217916502,833867958,834629475,0.0716118954761108,-0.220512655127819,1.72144695789436,484841819.361603,0.653305896207771,0.517442109718289
"1982",212741754,913202030,913813248,-0.0640633125734557,0.154835581421886,1.61462362371893,565960533.821022,0.762610276178361,0.505154685416753
"1983",231162488,970831644,971734078,0.00396722348550189,0.0572013313848721,1.62104191946796,599450308.058,0.80773647218285,0.548894665528583
"1984",249456963,837075151,837712099,-0.106632286284061,-0.0411903742858357,1.45708347271712,574923890.556431,0.774688058191404,0.592334844006615
"1985",238580625,986478952,986890573,0.0660370563912359,0.0981141350307564,1.55655317387212,634023038.573738,0.85432191055051,0.566509010583825
"1986",257163292,789747958,790378183,-0.0959177581159329,-0.126250908161851,1.41418884833321,558891539.790852,0.753085075802188,0.610633500140253
"1987",290441931,955554378,956239528,-0.00492751942808829,0.195050263761967,1.40723754571248,679515360.369284,0.915621082516213,0.689653533110098
"1988",283403098,891583835,892290133,0.0014595316822528,-0.0707026740122374,1.40929295309612,633147374.39061,0.853141986395683,0.672939844316238
"1989",294494428,963425043,964422750,0.0141344129634466,0.063478237150951,1.42935392271284,674726346.410813,0.909168068499787,0.699276175627126
"1990",314723900,1071792990,1083055297,-0.0349586394030351,0.14119619687358,1.38024897626156,784681108.718142,1.05732792530852,0.747310998938336
"1991",298053138,992444297,1005514498,0.00807139874513156,-0.0842973751436976,1.39143459719372,722645893.689827,0.973737834412735,0.707726322327239
"1992",285270830,945230597,951891151,-0.0243329211180834,-0.0250301815155196,1.35798553597449,700958239.821696,0.944514546360522,0.677374768599615
"1993",330512165,1077272603,1081665902,-0.135250911173465,0.266715587468541,1.18619590347457,911877961.162753,1.22872084226142,0.784800188951084
"1994",337283712,925763240,928228041,-0.0564590289787658,-0.0949646536300833,1.12107992326767,827976687.24139,1.11566706933328,0.800879207903658
"1995",361933586,1088362748,1095806151,-0.0186655064776351,0.178734937134182,1.10034848202469,995871915.944004,1.34189949912038,0.859410263100433
"1996",345270221,977943479,984644778,-0.00485883150474446,-0.101845110415867,1.0950150417905,899206623.125438,1.21164669658743,0.819843150644645
"1997",358239840,899590665,905352590,-0.0223784403749295,-0.0604283920940786,1.07078246786029,845505615.915752,1.13928663348772,0.850639473805166
"1998",355915984,906944107,913457142,-0.161932973972877,0.169692117523064,0.910698570229128,1003029072.25404,1.35154349481279,0.84512148439048
"1999",350695437,745846431,752250978,-0.00186935845436274,-0.192779988986271,0.908997738384985,827560890.675618,1.1151067992881,0.832725310494647
"2000",347515716,707261745,714216563,0.0169916973895278,-0.0695640763151553,0.924575121183559,772480836.479488,1.04088852286723,0.825175072089318
"2001",348381001,823494515,835396708,0.205720230273566,-0.0572774878814663,1.13575684765347,735541863.318691,0.991114662605787,0.827229688842975
"2002",342491089,689888378,702229133,-0.0708265968550264,-0.103147516454647,1.05809768387138,663671363.905338,0.89427190037879,0.813244109672219
"2003",357231576,702979043,710678575,-0.00595659753258184,0.0240758778494427,1.05181375581361,675669595.56473,0.910439060830148,0.848245353825611
"2004",410500960,740931343,757962400,0.00300589609517083,0.05090682882235,1.05498015522472,718461286.92207,0.968099236079187,0.974733353529065
"2005",450296131,694888413,705407151,-0.282254341306365,0.216156731859169,0.795541404016908,886700739.19246,1.19479549402107,1.06922687306454
"2006",374221132,659061409,686703211,0.169142364713314,-0.225343886339117,0.942150717313873,728867683.673617,0.982121459585021,0.888587005876436
"2007",421141801,697252214,742135992,0.0595900200554671,-0.014326478607219,1,742135992,1,1
"2008",449950157,632100969,680405596,0.0535157537288459,-0.16048730027843,1.05497361140489,644950346.287727,0.869046041749888,1.06840535879268
"2009",433636625,610644750,651655486,-0.152942840029282,0.130829935386039,0.905355960314435,719778202.789626,0.969873730082648,1.0296689237932
"2010",523226487,729286306,751005352,-0.0860966776930391,0.254144370294092,0.830669095331409,904096897.574328,1.21823615526024,1.24239979445783
"2011",554606583,702730760,710524616,-0.0257600416995142,-0.0124710813051557,0.809544280999873,877684683.439955,1.18264670208847,1.31691174251306
"2012",509997737,651573209,662284087,-0.0395056395008394,-0.0317732366234563,0.778186205155968,851061201.820278,1.14677257402209,1.21098816548016
"2013",440096544,506818008,527869328,-0.0313751488318414,-0.220665303768558,0.754149545807421,699953120.617268,0.943160186492166,1.04500798295252
"2014",478274839,538339762,579754690,-0.0757485760244116,0.137557072279739,0.699133778122004,829247145.742726,1.11737896380415,1.13566223505797
"2015",528118015,592598439,626262752,-0.0353513585797001,0.0724884210470551,0.67485020677209,928002608.15731,1.25044819030595,1.25401471368073
"2016",551034895,542059617,573792944,-0.0021842754935754,-0.0952421716046173,0.673377756707329,852111520.293933,1.14818783818523,1.30843077958913
"2017",512940376,549325876,601403981,-0.0763165523573741,0.054038243730827,0.623899889809702,963943079.367166,1.29887660719623,1.21797545335567
