"","QE_Total","QE2_Other","QE3_Shellfish","V2_Other","V3_Shellfish","QE1_Finfish","V1_Finfish","VV1_Finfish","PC1_Finfish","PI1_Finfish","Q1_Finfish","VV2_Other","PC2_Other","PI2_Other","Q2_Other","VV3_Shellfish","PC3_Shellfish","PI3_Shellfish","Q3_Shellfish","VV_Total","R1_Finfish","R2_Other","V_Total","R3_Shellfish","PC_Total","QC1_Finfish","QC2_Other","QC3_Shellfish","QC_Total","PI_Total","Q_Total","QI_Total","QEI_Total"
"1950",326140141,5012224,113204043,312289800,527418851,207714872,4068789247,4036119647,0,7.07622717762797,574994152.231826,312050900,0,2.46215443444921,126738963.094249,527418851,0,19.9874016019767,26387564.6020862,4875589398,0.828927572457117,0.0636222743677337,4908497898,0.10745015317515,0,0,0,0,0,7.53307892735088,651592522.172888,0.0740974705673885,0.0798010204232375
"1951",343768689,5439614,123234033,293711229,559911818,214834774,3612754537,3579215937,-0.150941961381411,6.08483079879892,593731306.006589,292791229,-0.169394762506369,2.07849066924307,140867232.811118,559911818,-0.0408500244799739,19.187367709216,29181273.1420718,4431918984,0.80887799319566,0.0657605013181528,4466377584,0.125361505486187,-0.139320355478143,0.0262597551427472,0.00683712106004362,0.0117144204780317,0.0448112966808225,6.55339667032947,681536279.380362,0.0775025996823741,0.0841144303416444
"1952",342260948,5558331,132524725,291688116,540609297,203950882,3620778445,3600159045,0.0607579022460768,6.46599445681577,559972401.644013,290921516,0.00299194586370719,2.08471871314277,139549529.711578,540609297,-0.0565382924822414,18.1326437904299,29814146.4227806,4431689858,0.813096062240941,0.0655026155631234,4453075858,0.121401322195936,0.0424944621601316,-0.0474746700834631,-0.000616821503612722,0.00264724943908143,-0.0454442421479943,6.83788144241026,651236189.966809,0.0740569493608772,0.083745511416286
"1953",336674622,6321020,151976003,368555594,596179675,178191055,3575415636,3567893136,-0.0486032050516939,6.15924137756858,580496106.066139,368205294,0.0805691697360305,2.25963457136044,162949044.357344,596179675,-0.0609625398572314,17.0602517441127,34945537.9640417,4532278105,0.787510307655732,0.0811769480160043,4540150905,0.131312744328264,-0.0406914201506432,0.0288073881084188,0.0113689826768969,0.020066482259436,0.0602428530447517,6.56522337865288,691545533.661887,0.0786408270242926,0.0823786311731795
"1954",341197698,5986836,134243879,361753359,586718795,200834411,3834299154,3830660254,-0.0801082282856776,5.68508107709868,674449335.374614,361296559,0.0303836970455088,2.32934428020968,155106551.689078,586718795,0.118289558230755,19.2025072526039,30554280.6093949,4778675608,0.80168983776968,0.0756367669921633,4782771308,0.122673395238157,-0.0462497596929677,0.119200710405874,-0.00386743625092499,-0.0170533910456072,0.0982798831093413,6.26849800410169,762985216.693133,0.0867647689521387,0.0834853519808211
"1955",321979001,6853559,138183914,409058158,569113688,176813828,3885423252,3885419252,0.0524627575604714,5.99129837805595,648511058.342706,407388358,0.00251234370023297,2.33520375105805,174455165.98516,569113688,-0.0791748705721663,17.7407807391039,32079404.8677671,4861921298,0.798878848610929,0.0841061292639702,4863595098,0.1170150221251,0.0326971382945755,-0.0313851533776806,0.00938932555874025,0.00583754397736714,-0.0161582838415733,6.47684760618546,750920107.083454,0.0853927548884808,0.0787828592821225
"1956",354343664,7211882,150302132,429123200,557898015,196713773,4327337671,4327332671,-0.00734571509572095,5.94744925586968,727595559.849334,425192700,0.00465278924209089,2.34609427796537,181234276.897322,557898015,-0.131568663202577,15.5536808746036,35869195.176233,5310423386,0.814272758732915,0.0807478774402064,5314358886,0.104979363826879,-0.0201451128815111,0.092809684015195,0.00314234500151881,0.0123944596778246,0.108346488694538,6.34767623436664,837213287.159763,0.0952057993192978,0.0867019492939656
"1957",337536928,7599024,152160304,450810600,567161694,177697551,3793362982,3793355382,-0.0110535218136906,5.88207099148011,644902618.056549,445854700,0.00408162398879585,2.35568972182582,189267158.517987,567161694,-0.0105490362257573,15.3904669201367,36851493.6514325,4806371776,0.788422083350152,0.0936976066184251,4811335276,0.117880310031423,-0.00967717814898757,-0.0966793758034535,0.00378276416924486,0.00301053300368821,-0.0898860786305204,6.28654490705402,765338567.867587,0.0870323861568334,0.0825896229833446
"1958",358009337,8500799,152069197,481155000,550015743,197390574,3782539963,3782536363,-0.046736780177204,5.61348719135959,673830692.768334,473510000,-0.0539512251037436,2.23196493661744,212149390.087466,550015743,-0.0178731491020584,15.1178344680084,36381913.3066918,4806062106,0.785784645987407,0.0999551135053192,4813710706,0.114260240507274,-0.0440851190151426,0.034537746202325,0.0110509031118946,-0.00148853014330538,0.0441001191709143,6.01542197905062,800228267.071584,0.0909999554150749,0.0875988779732781
"1959",330671208,7861261,143859263,448012100,609151676,178911564,4078774531,4078765531,0.0853598355179316,6.11369883915603,667153328.66528,440321500,0.0571390386794273,2.36321120367259,186323380.371467,609151676,0.0878834226230383,16.5065712649041,36903586.2278173,5128238707,0.794163458980973,0.0872308180550737,5135938307,0.118605722963954,0.0830123962164525,-0.00786733904958215,-0.0121490154165936,0.00165765287906815,-0.0183587015871076,6.53608849856408,785781635.014324,0.0893571205800601,0.0809096964945036
