"","QE_Total","VV_Total","V_Total","PC_Total","QC_Total","PI_Total","Q_Total","QI_Total","QEI_Total"
"1950",31371626,482141221,482214421,0,0,16.9372526525338,28470639.8902222,0.00541657802328808,0.0210056922897478
"1951",39260240,407646903,407691176,-0.184367278545954,0.0106308308846779,14.0855326360157,28943965.8786892,0.00550662893738299,0.0262877200136724
"1952",37238384,374120171,374166308,0.0831795588836453,-Inf,15.3072684139807,24443702.0297011,0.00465044760962161,0.0249339334745182
"1953",26466835,296754590,296926940,0.0708720352786112,-0.302290813624563,16.4314932025894,18070599.9350813,0.00343795625435198,0.0177215612570903
"1954",31251041,337527102,337604339,-0.0606108001322234,0.189362829226846,15.4651485318297,21830009.4761558,0.00415318904080288,0.0209249514507247
"1955",26767572,315148868,315308098,0.0321776067457068,-0.100707126959683,15.9708728641345,19742696.6379578,0.00375607492989057,0.0179229275771574
"1956",37739047,428122836,428143786,-0.0707131776195713,0.376766282164655,14.8805269130769,28772085.0545789,0.00547392837645108,0.0252691654742514
"1957",31554199,371101216,371101376,-0.061518312399534,-0.0813561479479806,13.992691074771,26521086.9029403,0.00504567291167613,0.0211279388146304
"1958",33196757,379077701,379078066,0.0493032311756684,-0.0279954074356867,14.6998657101526,25787859.1188888,0.00490617532691964,0.0222277564624648
"1959",28786695,323508107,323508107,-0.0403740779200382,Inf,14.1181934389028,22914270.7528408,0.00435947122572881,0.0192748841647169
"1960",40933863,357685711,357706386,-0.0243809559388178,-Inf,13.7781406375769,25961876.5266797,0.00493928237580735,0.0274083380443427
"1961",46469660,413448000,413456300,0.0420355979964684,0.103146992326849,14.369658320322,28772869.2487613,0.00547407757046257,0.0311149756397453
"1962",57241650,429155400,429213300,-0.184752254642165,0.222104249790884,11.9456436987155,35930529.2226449,0.0068358321310273,0.0383276431402517
"1963",45702680,391730800,391929900,0.0836226031454317,-0.173849739097513,12.9875248658228,30177412.8672799,0.00574129390722745,0.0306014241307355
