"","QE_Total","QE3_Shellfish","QE2_Other","V3_Shellfish","V2_Other","QE1_Finfish","V1_Finfish","VV1_Finfish","PC1_Finfish","PI1_Finfish","Q1_Finfish","VV2_Other","PC2_Other","PI2_Other","Q2_Other","VV3_Shellfish","PC3_Shellfish","PI3_Shellfish","Q3_Shellfish","VV_Total","R1_Finfish","R2_Other","V_Total","R3_Shellfish","PC_Total","QC1_Finfish","QC2_Other","QC3_Shellfish","QC_Total","PI_Total","Q_Total","QI_Total","QEI_Total"
"1958",33196757,1392267,0,21100243,0,31803860,357977823,357977823,0.0353253904296686,5.9810502098578,59852000.9763487,0,0,2.53239861733178,0,21099878,0.313335208278302,104.893622690611,201155.012657301,379077701,0.944338000816961,0,379078066,0.055661999183039,0.0493032311756684,-0.0241193265764242,NA,-0.0038760808592625,-0.0279954074356867,14.6998657101526,25787859.1188888,0.00490617532691964,0.0222277564624648
"1959",28786695,2440209,5395,36364076,107900,26338634,287036131,287036131,-0.0413634169708047,5.73870029901647,50017620.0261223,107900,0,2.53239861733178,42607.8261382432,36364076,-0.029672384190578,101.826902276784,357116.588906492,323508107,0.887261013832955,0.000333531054292868,323508107,0.112405455112752,-0.0403740779200382,-0.164385572678703,Inf,0.0482342240832318,Inf,14.1181934389028,22914270.7528408,0.00435947122572881,0.0192748841647169
"1960",40933863,3137924,0,41293692,0,37794921,316412694,316412694,-0.0249344327753234,5.59737827631829,56528731.5561103,0,0,2.53239861733178,0,41273017,-0.0201125838411148,99.7993580910578,413559.9445674,357685711,0.884559813254215,0,357706386,0.115440186745785,-0.0243809559388178,0.108412124669812,-Inf,0.016717053500179,-Inf,13.7781406375769,25961876.5266797,0.00493928237580735,0.0274083380443427
"1961",46469660,5116540,0,64380900,0,41351680,349075400,349075400,0.0641083542918939,5.96796905340387,58491489.6301117,0,0,2.53239861733178,0,64372600,-0.0986976367429528,90.4198763718922,711929.750215969,413448000,0.844286082954837,0,413456300,0.155713917045163,0.0420355979964684,0.0295046874041376,NA,0.0736423049227114,0.103146992326849,14.369658320322,28772869.2487613,0.00547407757046257,0.0311149756397453
"1962",57241650,7091080,2310,78966400,46200,50147480,350200700,350200700,-0.201902427003191,4.87687307155883,71808450.7965394,0,0,2.53239861733178,0,78954700,-0.100991953525541,81.7341707512808,965993.773158367,429155400,0.815912973805798,0.000107638789385138,429213300,0.183979387404817,-0.184752254642165,0.17027076317904,NA,0.0518334866118442,0.222104249790884,11.9456436987155,35930529.2226449,0.0068358321310273,0.0383276431402517
"1963",45702680,9621930,15920,106095300,199100,36063300,285635500,285635500,0.0974561950413239,5.37608516879178,53130761.7033518,0,0,2.53239861733178,0,106095300,0.0367382341249625,84.7927797910871,1251230.35547836,391730800,0.72879231719754,0.000507999006965276,391929900,0.270699683795495,0.0836226031454317,-0.232668215553421,NA,0.058818476455908,-0.173849739097513,12.9875248658228,30177412.8672799,0.00574129390722745,0.0306014241307355
"1964",56015510,9982830,79740,107212700,398700,45947200,384973500,384973500,0.0419798258779097,5.60657643092846,68664630.6784135,0,0,2.53239861733178,0,107197700,0.0147268373779612,86.0507494919047,1245749.75387152,492171200,0.781537355286368,0.000809403617528674,492584900,0.217653241096103,0.0352976353885227,0.193683281965335,NA,-0.0010718836377039,0.192611398327631,13.4541405520511,36612141.6744755,0.00696550982851569,0.0375066490501095
"1965",70327090,14534240,106860,157495400,461800,55685380,334235200,334235200,-0.0220705506370022,5.48419171875602,60945207.0861984,0,0,2.53239861733178,0,157472700,-0.0279029138573625,83.6828718133128,1881779.3484825,491707900,0.679074280708113,0.000938250976650594,492192400,0.319987468315236,-0.0236191227370634,-0.0870955512952592,NA,0.110883081894426,0.0237875305991673,13.1400889661832,37457311.0780823,0.00712630445888521,0.0470893415653176
"1966",80717709,17616176,496491,192612100,662000,62590222,388321900,388321900,-0.128420409343314,4.82325644724834,80510315.851345,0,0,2.53239861733178,0,192476400,-0.0194085877446943,82.0743653647488,2345146.36993671,580798300,0.667683237161191,0.00113824716813733,581596000,0.331178515670672,-0.092794681933756,0.18747545260571,NA,0.0716705927028491,0.259146045308559,11.9756222184932,48564992.2307902,0.00923955592964377,0.0540466521431629
"1967",47790051,18250195,488692,181354800,399600,29040845,179534100,179534100,0.118883247863514,5.43213671977883,33050364.7572607,0,0,2.53239861733178,0,181187000,-0.115608890385939,73.113778735698,2478151.22037366,360721100,0.49692724789192,0.00110604129386903,361288500,0.501966710814211,0.0210668408973785,-0.518457056944468,NA,0.0229802234948226,-0.495476833449645,12.2305869676932,29539751.5225012,0.00561997796772815,0.0319990779508003
"1968",79093030,27446858,157875,142357900,126300,51472407,407179600,407179600,0.23121851499184,6.84522325685521,59483757.4643349,126300,0,2.53239861733178,49873.6648865627,100276600,-0.631663607436685,38.8750724107322,2579457.57478041,507582500,0.740779363676487,0.000229776819939752,549663800,0.258990859503573,-0.0972442596253784,0.36368194843114,Inf,0.0152443877957498,Inf,11.0972317243289,49531614.1587772,0.0094234570682255,0.0529588058471623
"1969",70430693,21873391,22317,130065900,15400,48525402,255926500,255926500,-0.516086721718052,4.08558266151907,62641371.1832337,15400,-0.147837659143521,2.18437394737809,7050.07492809768,118859200,-0.0156360896964609,38.2719458500773,3105648.20679897,374801100,0.663008623141812,0.000039895566877146,386007800,0.336951481291311,-0.366917207866615,0.0363038172524282,-0.000263800926004831,0.055316357740737,0.0913563740671604,7.68890572646493,50203216.651672,0.00955123035739027,0.0471587116623057
"1970",96117726,20524585,114615,151994500,229300,75460338,392990400,392990400,0.132070144920304,4.66241939768045,84288942.388047,0,0,2.18437394737809,0,137521200,0.021417969234123,39.1004944499766,3517121.76366307,530511600,0.720800008510417,0.000420568649899434,545214200,0.278779422839684,0.0979737560427269,0.205374322309384,-Inf,0.0383047791734451,-Inf,8.48035431352182,64291441.1171079,0.0122315342536451,0.0643581361050998
"1971",83766504,26027379,389921,183258200,821300,57316733,286985400,286985400,-0.084872723293473,4.28303458764766,67005155.8368617,0,0,2.18437394737809,0,170377200,-0.0447939463646305,37.3876773057833,4557041.57833965,457362600,0.609226881476417,0.00174349649061095,471064900,0.389029622032973,-0.0713984033722859,-0.152608028450436,NA,0.0864915094749597,-0.0661165189754762,7.89598046281258,59658822.8933136,0.0113501723257768,0.0560880525354958
