"","QE_Total","QE3_Shellfish","QE2_Other","V3_Shellfish","V2_Other","QE1_Finfish","V1_Finfish","VV1_Finfish","PC1_Finfish","PI1_Finfish","Q1_Finfish","VV2_Other","PC2_Other","PI2_Other","Q2_Other","VV3_Shellfish","PC3_Shellfish","PI3_Shellfish","Q3_Shellfish","VV_Total","R1_Finfish","R2_Other","V_Total","R3_Shellfish","PC_Total","QC1_Finfish","QC2_Other","QC3_Shellfish","QC_Total","PI_Total","Q_Total","QI_Total","QEI_Total"
"1950",110917048,6236137,3203550,41410300,201668300,100473440,1439245100,1439245100,0,6.3027192126637,228353041.193428,201668300,0,0.0302326354117365,6670549796.71773,41392800,0,20.1750385793563,2051683.80903888,1682306200,0.855510208885484,0.119874849293272,1682323700,0.024614941821244,0,0,0,0,0,3.24603906050204,518269703.057672,0.616204897427778,0.313318435019995
"1951",100746805,6645186,3628994,48396800,230386500,89328403,982689100,982689100,-0.142094194410058,5.46785809664371,179721032.007615,229841500,0.0000581166393381702,0.030234392481962,7601988369.27598,48384900,-0.0467514789589045,19.2535343683434,2513039.89565439,1260915500,0.779001665038411,0.182633008855366,1261472400,0.0383653261062232,-0.117590743954819,-0.195722198050634,0.0197700313723428,0.00638721654700853,-0.169564950131283,2.88592293946054,437112295.256159,0.51971152369825,0.284589536460297
"1952",94098945,6492833,3400785,40255300,220496200,83237388,769404800,769404800,-0.128852906225569,4.80681191435597,160065509.886523,220496200,0.000784249507486883,0.0302581130895968,7287176148.33062,40255300,-0.0816121410253385,17.7446223958695,2268591.52603723,1030156300,0.746881613984208,0.214041500304371,1030156300,0.0390768857114207,-0.1013118139934,-0.088365928789538,-0.00838842214698892,-0.00396248442595628,-0.100716835362483,2.60786777888304,395018608.052751,0.469663573658911,0.265810664059798
"1953",88061836,6535676,3910214,46050900,253621200,77173936,679368300,679368300,0.0101308835354648,4.85575667424935,139909873.079673,253621200,0.000219200609276957,0.0302647464134093,8380086736.41583,46050900,0.0917831302723437,19.4503611239866,2367611.56805511,979040400,0.693912426902914,0.25905080117225,979040400,0.0470367719248358,0.0113019999023018,-0.0969544288649688,0.033055468505367,0.00183949554129716,-0.0620594648183046,2.63750908778112,371198872.654367,0.441342725418463,0.248757040851893
"1954",99612567,6560057,3279302,48532600,212520900,89586645,773059900,773059900,0.0365303468083003,5.03641888601349,153493964.163077,212520900,-0.000840053629917872,0.0302393330791025,7027962536.21303,48532600,0.0826086175761081,21.1253608394372,2297361.94183242,1034113400,0.747558149812197,0.205510246748567,1034113400,0.046931603439236,0.0300148807357191,0.0667853450153051,-0.0408724120386482,-0.00141517251762466,0.0244977604590323,2.71787364150612,380486194.872158,0.452385032929068,0.281385541389132
"1955",83547465,6745741,3835131,50183800,248924200,72885001,748468600,748468600,0.158304911037832,5.90028232864566,126853014.535629,248924200,0.000146792023072511,0.0302437722977946,8230593642.51833,50183800,-0.0174605885990987,20.759701210889,2417366.19858851,1047576600,0.714476249278573,0.237619091529918,1047576600,0.0479046591915092,0.114928188184146,-0.139355412972902,0.0349986440480744,0.0024143945382767,-0.101942374386551,3.04889129080104,343592637.481269,0.408519858843697,0.236004847367447
"1956",88230212,8286655,3856068,67579000,239737500,76028017,788163500,788163500,0.0103041451242789,5.96139400511366,132211274.63206,236761100,0.0000544974309076747,0.0302454205505981,7827998278.41435,67579000,0.0102352922837004,20.9732739456787,3222148.34818023,1092503600,0.719468634753715,0.218842425238252,1095480000,0.061688940008033,0.00796108734274412,0.0296626972307438,-0.011446072431296,0.0157469412956023,0.0339635660950501,3.07326065527667,356455284.103255,0.423813104417553,0.249232669312677
"1957",78808685,7550566,3307064,73473100,193896200,67881917,737992700,737992700,-0.00721567568013369,5.91853333966695,124691821.038475,189407000,-0.000114619636372712,0.0302419540301621,6263054292.42743,73473100,0.233042553942155,26.4773992836265,2774936.43589971,1000872800,0.734056688038736,0.192862073561563,1005362000,0.0730812383997008,0.0104359149146503,-0.0425562758911927,-0.0459130504878681,-0.0100687127110581,-0.0985380390901189,3.10550087749177,323735860.867637,0.384910832646987,0.22261874342512
"1958",92750509,8611137,4126258,71767100,236330500,79954507,814978800,814978800,0.00808503667077118,5.96657886194111,136590635.749154,228843100,-0.000325199194251944,0.0302321209700172,7569535072.54605,71767100,-0.171462075269639,22.3054141637773,3217474.44244033,1115589000,0.725666392776128,0.210431365132417,1123076400,0.0639022420914552,-0.00590835395321147,0.0665218659959264,0.0382047287410003,0.0101346458334726,0.114861240570399,3.08720657692615,363784013.805198,0.432526712617335,0.262001602559671
"1959",77837512,9289109,3416463,75151900,187744300,65087951,642302600,642302600,0.0536927373084414,6.29569738617873,102022470.363661,180088100,-0.000289748790968298,0.0302233625184544,5958572607.20207,75151900,-0.139817477050695,19.3949351949865,3874820.8872297,897542600,0.709570759483994,0.20740670447199,905198800,0.083022536044016,0.0281990457604976,-0.20939773182142,-0.0499944694966366,0.0136568580869893,-0.245735343231067,3.17550192792322,285056920.306139,0.338922899220246,0.219875374303958
"1960",74637065,8830683,4255296,52033100,248931100,61519973,638122220,638122220,0.0346101988904126,6.51740730595771,97910440.4625253,241778300,0.000237367023511324,0.0302305373995623,7997816803.72975,52033100,-0.14581156472014,16.763441177646,3103962.93031922,931933620,0.679513840696365,0.26507794671336,939086420,0.0554082125902747,0.0140019212497059,-0.0285733998702547,0.0695350104598746,-0.0153533390613388,0.0256082715282812,3.22027779841498,291616586.762241,0.346722117603832,0.21083475283516
"1961",85252263,8436381,4736138,55704200,271473000,72039928,696465000,696465000,-0.0488606951584139,6.2066168028431,112213307.527052,262451200,0.00964276204902045,0.0305234532676524,8598345596.70009,55704200,0.0257634826722571,17.2009373170631,3238439.79971617,1014620400,0.680379335670218,0.265203017226136,1023642200,0.0544176471036462,-0.0292512280754354,0.0927096317389995,0.019196491018485,0.00232896777535914,0.114235090532844,3.12744507282644,327309409.490245,0.389159659366852,0.240820560109687
"1962",85877354,7705198,4960893,42769800,290229400,73161962,640768900,640768900,-0.0859510581377431,5.69543451203323,112505709.379362,282508900,-0.000217875314575559,0.030516803685086,9257486561.021,42767700,-0.13693786349982,14.9996371980474,2851248.9625794,966045500,0.658030284623208,0.298047759009563,973768100,0.0439219563672295,-0.0643134283613668,0.00174152449747046,0.0208016312242843,-0.00626101407401348,0.0162821416477413,2.93263979752032,332044903.988334,0.394789999871513,0.242586316928828
"1963",81966582,7587322,4204853,42710500,249407700,70118937,672232300,672232300,0.0894300957657351,6.22824746136259,107932818.047171,243186400,0.0000485152527774587,0.0305182842514455,7968547576.14631,42709600,-0.0546000724392988,14.2026127132543,3007165.00986766,958128300,0.697082958944906,0.258627646275913,964350500,0.0442893947791804,0.0581992841155761,-0.0281152065643226,-0.0417312670300108,0.00234821470296457,-0.0674982588913688,3.10838175983966,310241976.213933,0.368867066708363,0.231539169670095
"1964",76979017,7327271,4522330,45625200,264702100,65069196,599021800,599021800,-0.0363861847295541,6.00569870198677,99742233.1229894,256451500,0.000104404614147992,0.0305214706674726,8402331027.68885,45624200,-0.0145293592047553,13.9977497194178,3259395.32528645,901097500,0.658736892135265,0.291089637632016,909349100,0.0501734702327192,-0.0253241017188755,-0.0535005083789188,0.0145694130197931,0.00380420459777062,-0.035126890761355,3.03065314165715,300050536.137161,0.356749794079656,0.217450297954356
"1965",81987863,8007519,4746572,53424200,280278300,69187060,587821300,587821300,-0.050012962082257,5.7127232707467,102896862.344107,273447100,0.0000884373142743569,0.0305241700237263,8958379532.92263,53423900,0.16908651502624,16.5764513924728,3222879.17571184,914692300,0.637879672776764,0.304146566805979,921523800,0.0579737604172567,-0.0232543778322745,0.0201869978741453,0.0190714228356246,-0.000609224774968265,0.0386491959348016,2.96099031056644,311221484.484936,0.370031668440052,0.231599284230804
"1966",90892120,10453763,4071353,70131400,246631000,76317410,591262200,591262200,-0.142158165078879,4.9556962620418,119309612.360382,241665200,0.000296456790771508,0.0305332204626782,7914828384.8864,70130900,-0.0641451112260955,15.5465381397148,4511030.0035765,903058300,0.651152182440872,0.271612685383193,908024600,0.0772351321759344,-0.0958743524899744,0.0953849727899428,-0.0356542786294411,0.022732021812935,0.0824627159734367,2.69029115622741,337519081.493514,0.401298609130707,0.256752026019026
"1967",96477291,11602299,4450692,72967000,270882900,80350841,689909600,689909600,0.0975082565472316,5.46326136767679,126281639.037412,265768200,-0.000498757688946385,0.0305179955812831,8708573251.2196,72966400,-0.0727029439741384,14.456368472305,5047353.36123912,1028644200,0.66737921150906,0.262036672939886,1033759500,0.0705841155510542,0.0587773206101947,0.0374415080389795,0.0255004241231325,0.00830289697627093,0.071244829138383,2.85315883849531,362321047.833839,0.430787296265187,0.272529014936357
"1968",95415144,14328418,4559384,85837000,276568000,76436760,574145400,574145400,-0.0630517222877639,5.12942829361059,111931655.368918,270121300,0.000146680709789443,0.0305224723108532,8849915473.71966,85804200,-0.0747504204768188,13.4151494149612,6396067.41198927,930070900,0.613042715053029,0.295304983052701,936550400,0.0916523018942707,-0.0463891484378754,-0.0772262015381893,0.00448658259764878,0.0192103586727569,-0.0535292602677836,2.72382623656321,343836323.855112,0.40880959358241,0.269528662494583
"1969",110985034,16321109,4542948,81232600,270889400,90039886,719763200,719763200,-0.0558050123244925,4.85102099344727,148373548.779164,266096800,-0.000461345585725859,0.0305083941506854,8722084770.69324,81232600,-0.180249888107815,11.2024749728814,7251308.32219177,1067092600,0.671492805386248,0.252722399749525,1071885200,0.0757847948642261,-0.0510584342595458,0.181019704470048,-0.00398679492798854,0.0105065586224981,0.187539468164557,2.58824272837633,414136274.101471,0.492393822749506,0.313510481846946
"1970",142721587,19399205,4273351,102208100,259115400,118955872,826060400,826060400,-0.127131662253669,4.2718950510467,193370948.988458,257367700,-0.00368982789287888,0.0303960308550763,8467148267.71595,102208100,0.0446621012080849,11.7141420583044,8725188.7070588,1185636200,0.69569782780447,0.218223777499425,1187383900,0.0860783946961046,-0.0841608890010163,0.181068873250233,-0.00698519680666237,0.0149749498461556,0.189058626289726,2.37932842426042,499041615.227658,0.593343360627299,0.403159884695182
"1971",140184309,18942142,5056952,92715020,313777200,116090178,699263300,699263300,-0.0913367092198394,3.89900278947534,179344139.452153,312707400,-0.00421697279171927,0.0302681215046589,10331245695.3058,92715020,-0.0518561852461058,11.1221726237527,8336052.95803412,1104685720,0.632385086352542,0.283767247212114,1105755520,0.0838476664353437,-0.0661156613736327,-0.0500048668788637,0.0499428611946164,-0.00387637524813206,-0.00393838093237935,2.22710516929624,496499013.717173,0.59032029465658,0.39599258276545
"1972",166435429,22001099,5153899,77996800,326995300,139194924,785133100,785133100,-0.22362680935652,3.11769521618426,251831255.321014,326983800,0.00199699337026807,0.0303286271371997,10781358434.7488,77319000,-0.257860407029165,8.59413713718667,8996714.70978071,1189435900,0.659706306529767,0.27475705917327,1190125200,0.065536634296963,-0.163175601420453,0.219301965429534,0.0119093316755849,0.00569674345862675,0.236908040563746,1.89179669615032,629097831.929734,0.747975740640895,0.470146736560834
"1973",215777748,20899082,4979073,66153400,310503700,189509461,895047600,895047600,-0.220464804375266,2.50084634279639,357897878.283548,310491900,0.00238381648826712,0.0304010112595907,10213209598.4816,65683000,-0.313673779632854,6.28022911383991,10458694.8675571,1271222500,0.703817167617608,0.244163365913486,1271704700,0.0520194664689059,-0.168123095684847,0.239631374899517,-0.014046301733015,0.00885045784030016,0.234435531006803,1.59904074440364,795292242.834174,0.945575193821828,0.609528900512199
"1974",241065702,25395181,5387749,88577500,342358200,209869215,832863800,832759600,-0.260357601740222,1.92759210490908,432074710.141689,342346300,0.00119212403904566,0.0304372746468578,11247600318.0969,88140600,-0.138195374179693,5.46963063593347,16114543.3516019,1263246500,0.659015769510907,0.270895976774797,1263799500,0.0700882537142957,-0.185542311270178,0.128345353285562,0.0248446238624447,0.0263928816480509,0.179582858796057,1.32824909291992,951477781.341272,1.13127444108182,0.680962303356977
"1975",227604330,27947871,5509802,97874500,344552000,193967013,1007373900,1007373900,0.287252214189711,2.56901825543973,392124072.247035,344538400,-0.00397531582009265,0.0303165170512527,11364709191.9407,97715900,0.269272945228224,7.15981422179082,13647826.1827804,1449628200,0.694836268495994,0.237654783375698,1449800400,0.0675089481283079,0.211963274757954,-0.0656755064736416,0.00263380170268311,-0.0114303318617435,-0.074472036632702,1.64185200855075,883027454.636261,1.0498893508531,0.642936624849359
"1976",303195187,43557036,4969098,116664210,317790723,254503483,1035750329,1035750329,-0.00195215612940567,2.56400802267525,403957522.6911,317787923,0.00175351769544226,0.0303697242366032,10463971306.5614,116556910,-0.183720811176101,5.95816902186969,19562538.3523316,1470095162,0.704493689262826,0.216153982857939,1470205262,0.0793523278792346,-0.0144587108053127,0.0208020403667219,-0.0187365877620102,0.0264376859510564,0.028503138555768,1.61828373915562,908496592.054443,1.08017128151151,0.85646564896349
"1977",327533981,67824004,4191307,203905980,262267000,255370226,929124344,929124344,-0.131886701904847,2.24719993103184,413458691.934623,262262200,-0.00104634415199992,0.0303379636723885,8644686994.55571,203905680,-0.0386313124761042,5.73238635177197,35570819.4610731,1395292224,0.665897029986707,0.187964955919316,1395297324,0.146138014093977,-0.0949350738161221,0.0159293397079792,-0.0385919726567023,0.0674113744109238,0.0447487414622007,1.47171898267357,948073199.045962,1.12722650952864,0.925217865001137
"1978",370909899,59781549,5595963,179384040,340955708,305160481,774039107,773995307,-0.139091404847702,1.95539762454252,395847421.151027,340955708,-0.000671685861690743,0.0303175929332518,11246133845.4758,179157340,-0.218017058402192,4.60947907590336,38867155.4962832,1294108355,0.598000426235331,0.263412606504608,1294378855,0.138586967260061,-0.119087679792375,-0.027507953367898,0.0593740915940406,0.0126167246301455,0.0444828628562881,1.30648903563753,990730744.531953,1.17794486772252,1.04774614167611
"1979",409202666,66938516,5862116,166761978,346136564,335938283,898068851,898068851,-0.0878258385810319,1.79098853693798,501437520.384923,346136564,-0.000374620468121009,0.0303062374695222,11421297821.8789,166747141,-0.238035343637788,3.63307540379713,45896966.74771,1410952556,0.636491569865782,0.245318613114116,1410967393,0.118189817020102,-0.0848664129955642,0.145947925666397,0.00393133013428502,0.0213445019798227,0.171223757780504,1.20018654728602,1175623403.03732,1.39777589584799,1.15591553533889
"1980",446875896,72666912,5111696,158418010,298955449,368695433,925516389,925516389,-0.102926749331991,1.61581742373876,572785251.231228,298952927,0.000693276258409403,0.0303272553491983,9857566191.12924,158405384,-0.0728018247675041,3.37797927641655,46893533.3931475,1382874700,0.669262552139294,0.216181678846195,1382889848,0.114555769014511,-0.0755106916895339,0.086853444944728,-0.0339757763005922,0.00249977536792481,0.0553774440120606,1.11289675934767,1242603895.0914,1.47741340310017,1.26233486111962
"1981",435124059,75110228,3458660,158059051,152304761,356441044,936948251,936856492,-0.0105911311416357,1.59879439519227,586034235.432334,152300095,-0.00544506549487403,0.0301625702250775,5049307597.5792,157601965,-0.240118097931719,2.65689882015048,59318015.3510979,1246758552,0.751173887268017,0.122106380205833,1247312063,0.12671973252615,-0.0374103218766289,0.0162408038790396,-0.113155355971373,0.0283538856341141,-0.0685606664582189,1.07203207961776,1163502554.36828,1.38336462259242,1.22913827643004
