"","QE_Total","QE3_Shellfish","QE2_Other","V3_Shellfish","V2_Other","QE1_Finfish","V1_Finfish","VV1_Finfish","PC1_Finfish","PI1_Finfish","Q1_Finfish","VV2_Other","PC2_Other","PI2_Other","Q2_Other","VV3_Shellfish","PC3_Shellfish","PI3_Shellfish","Q3_Shellfish","VV_Total","R1_Finfish","R2_Other","V_Total","R3_Shellfish","PC_Total","QC1_Finfish","QC2_Other","QC3_Shellfish","QC_Total","PI_Total","Q_Total","QI_Total","QEI_Total"
"1957",20649018,11912527,16473,63416200,216900,8714921,271524800,271524800,-0.0709446820383662,7.16573148063846,37892125.9795528,212300,0.00302403236591603,68.7881062488573,3086.28935403389,63416200,-0.0690826984926986,10.8669837014258,5835676.37003814,335153300,0.810139937026697,0.000647157653153931,335157900,0.189212905320149,-0.070587913455868,-0.236751735681718,-0.000592366934761221,0.0277474366967032,-0.209596665919776,8.0876335689389,41440786.9920314,0.439448931240851,0.134083318752296
"1958",20077785,10970493,30776,62086800,491200,9076184,313070200,313070200,-0.0967454503738414,6.50495826755872,48127933.665821,489400,-0.408632798831665,45.7137010384739,10705.761924376,62086800,-0.056080191888842,10.2743344274601,6042902.38344403,375646400,0.833413284024787,0.00130760642537353,375648200,0.165279109549839,-0.0898425287587195,0.196502744285566,0.00121568007700772,0.00618486623607661,0.20390329059865,7.39270458041205,50813365.5165025,0.538838202403624,0.130374047133625
"1959",18870951,10075915,36670,69669700,2603300,8757699,396435300,396435300,0.243301134921383,8.29676625807203,47781905.3434587,2599300,0.546743116107307,78.9757760352586,32912.6237245146,69669700,0.103681973205934,11.3967810965076,6113103.28855484,468704300,0.845803882713406,0.00555420076836702,468708300,0.148641916518227,0.222427519853836,-0.00605839011132061,0.00385315927759552,0.00181291336572378,-0.000392317468001306,9.23426633253337,50757502.8834383,0.538245820449076,0.122537533653754
"1960",20229696,12765404,112170,81605700,10420500,7226788,274802500,274802500,0.0628525790889489,8.83497618742708,31103932.1635148,10416300,0.3284771620187,109.68562670038,94965.0406652952,81605700,0.0160765669697881,11.5814829185606,7046222.02302071,366824500,0.749130316139386,0.0284069921464705,366828700,0.222462691714143,0.0586836461147724,-0.3423628104042,0.0179935322834241,0.0263590115486804,-0.298010266572096,9.79238274356384,37460617.0537097,0.397242169436622,0.131360473269482
"1961",19935936,10890846,138464,65676600,11929000,8906502,324637100,324637100,-0.0394527795119286,8.49319819669138,38223186.6585271,11469900,-0.180476432156351,91.57349764918,125253.488121,65676600,0.00735910320213667,11.6670266230055,5629249.17566369,401783600,0.807067723043824,0.0296562249607016,402242700,0.163276051995474,-0.0345183445778956,0.160372483108273,0.00803684220094978,-0.0433021669299307,0.125107158379293,9.46013324256128,42519771.0947986,0.45089076054004,0.129452958068678
"1962",23461626,15193686,105192,70063400,9108800,8162646,226242500,226242500,-0.0115953263022249,8.39528555381302,26948755.7689141,8798000,-0.0480158772187576,87.2804088291505,100801.544333069,70063400,-0.0489703394215008,11.1094520980052,6306647.65299995,305103900,0.740771482184715,0.029824366672593,305414700,0.229404151142692,-0.0200166981322723,-0.27048891303873,-0.00645917328680752,0.0223097700082691,-0.254638316317269,9.27265521634764,32937135.3591963,0.349273987835156,0.152346841743523
"1963",19467844,10426924,158146,72949700,13697500,8882468,284064500,284064500,-0.07863364127686,7.7604216062577,36604261.2647413,13545400,-0.00770619845609031,86.6103936282,156394.624623778,72949700,0.00281413155513643,11.1407595887521,6548000.55766855,370559600,0.766267965106038,0.0369491979886257,370711700,0.196782836905336,-0.0589096116888918,0.230748486391883,0.01466443573206,0.00800282942807875,0.253415751552021,8.74218499613705,42404925.103256,0.449672903643394,0.126413427140796
"1964",20602150,11509578,186432,74714100,13136900,8905864,247977800,247977800,-0.0604186415218539,7.30543083748391,33944308.7637808,12826400,-0.205791240261372,70.5011193436251,181931.863201826,74714100,-0.0458497778949531,10.641491365105,7021017.77247112,335518300,0.738405401799965,0.0391178481416722,335828800,0.222476750058363,-0.0628936057356816,-0.0567588806038425,0.0057525620289573,0.0146213520554655,-0.0363849665194197,8.20929092291239,40908380.9008024,0.433803157963869,0.133778983844783
"1965",26789609,15766167,196265,79852800,9916600,10826740,266875600,266875600,-0.0409775005548135,7.01212309174031,38059172.1663239,9489500,-0.0765677897500219,65.3044902394674,145336.101165429,79852800,-0.064716332184136,9.97462439869045,8005594.67787917,356217900,0.74829480295532,0.0278052405052643,356645000,0.223899956539416,-0.0474666373347921,0.0850547927464524,-0.00751490203127215,0.0292895527703784,0.106829443485559,7.82872698392233,45555937.8596844,0.483087066082081,0.173956925350948
"1966",27068252,16024025,121660,70255600,6987900,10922386,290529900,290529900,-0.037106048722679,6.75669910433523,42998792.089704,6678400,0.276800029192301,86.1302621411812,77546.495667828,70204000,-0.0303175073288374,9.67675676752713,7254910.0578396,367412300,0.789969856438774,0.0190005584960739,367773400,0.191029585065152,-0.0283513531442304,0.0938571516505859,-0.0147010297715116,-0.0204274259302442,0.0587286959488301,7.60988881789395,48328353.9090893,0.512486490135012,0.175766279102642
