"","QE_Total","VV_Total","V_Total","PC_Total","QC_Total","PI_Total","Q_Total","QI_Total","QEI_Total"
"1950",18943779,260726900,260748000,0,0,9.91194564434919,26306439.6593672,0.278960358433439,0.123010438463953
"1951",17965732,310556500,310571000,0.0256841114240413,0.149013875736956,10.1698226555878,30538487.2989262,0.323838097182033,0.116659541406489
"1952",19616828,433584200,433731700,0.120550740999391,0.212307081524207,11.4727598048822,37805350.0096314,0.400897807759138,0.127380846955191
"1953",20157158,326297400,326314600,-0.163458808152846,-0.119061997870583,9.74268458830689,33493294.0753969,0.355171640152464,0.13088945155912
"1954",17560384,325913800,325921800,-0.105688767936366,0.104514131345072,8.76553834924731,37182177.1823047,0.394289520300704,0.114027435362046
"1955",17274433,346459300,346462000,0.0174785817403411,0.0435910444300304,8.9200943024863,38840620.7660193,0.411876089313662,0.11217062749445
"1956",19920812,443850000,443859400,-0.0273824299378309,0.274451476738544,8.67915426160194,51140858.5008922,0.54231102356425,0.129354751165434
"1957",20649018,335153300,335157900,-0.070587913455868,-0.209596665919776,8.0876335689389,41440786.9920314,0.439448931240851,0.134083318752296
"1958",20077785,375646400,375648200,-0.0898425287587195,0.20390329059865,7.39270458041205,50813365.5165025,0.538838202403624,0.130374047133625
"1959",18870951,468704300,468708300,0.222427519853836,-0.000392317468001306,9.23426633253337,50757502.8834383,0.538245820449076,0.122537533653754
"1960",20229696,366824500,366828700,0.0586836461147724,-0.298010266572096,9.79238274356384,37460617.0537097,0.397242169436622,0.131360473269482
"1961",19935936,401783600,402242700,-0.0345183445778956,0.125107158379293,9.46013324256128,42519771.0947986,0.45089076054004,0.129452958068678
"1962",23461626,305103900,305414700,-0.0200166981322723,-0.254638316317269,9.27265521634764,32937135.3591963,0.349273987835156,0.152346841743523
"1963",19467844,370559600,370711700,-0.0589096116888918,0.253415751552021,8.74218499613705,42404925.103256,0.449672903643394,0.126413427140796
"1964",20602150,335518300,335828800,-0.0628936057356816,-0.0363849665194197,8.20929092291239,40908380.9008024,0.433803157963869,0.133778983844783
"1965",26789609,356217900,356645000,-0.0474666373347921,0.106829443485559,7.82872698392233,45555937.8596844,0.483087066082081,0.173956925350948
"1966",27068252,367412300,367773400,-0.0283513531442304,0.0587286959488301,7.60988881789395,48328353.9090893,0.512486490135012,0.175766279102642
"1967",25025103,352927300,353342100,0.117211498079527,-0.157421800988745,8.55623331354032,41296454.5322569,0.437918392132038,0.162499197896871
"1968",32942043,339140100,339435500,-0.116181484091324,0.0760481184758128,7.61773114798655,44558608.5155705,0.472511125175112,0.213907433850891
"1969",36358046,318498700,318706800,-0.178531547824411,0.115386834513627,6.37221433144509,50015078.4990504,0.530372958326328,0.236089070726204
"1970",29841086,280152535,280361135,0.0888874353778614,-0.216967113787386,6.96456021645401,40255396.7926987,0.426878743896187,0.193771531704447
"1971",41693162,257585626,257764556,-0.0763470999930591,-0.00744788080470867,6.45262718457123,39947225.93246,0.423610819587763,0.270732367526491
"1972",44874601,286235300,286318300,-0.0319024938529545,0.139472173238254,6.25002128574501,45810771.9813742,0.48578939368126,0.291390875331947
"1973",57286781,239976300,240159800,-0.557409724208316,0.381201798535773,3.57932825755996,67096332.8084689,0.711507041324572,0.37198871719304
"1974",50787440,304506000,304657900,0.209326763279516,0.0288340497698959,4.41276690375373,69040107.1810165,0.732119332562034,0.329785586226577
"1975",63575362,332997300,333070900,-0.0257081510108771,0.114252030623235,4.30076862842512,77444505.5701511,0.821241768642645,0.412823289119058
"1976",73955395,318381400,318480300,-0.305048666693109,0.260196419457346,3.17004280460796,100465615.018529,1.06536362726018,0.480225490686143
"1977",71242500,346820100,346850300,0.0170891061325367,0.0733233198144614,3.22468153637669,107561102.108001,1.14060602597963,0.462609448846937
"1978",84286396,377154312,377177382,-0.147565209966406,0.226953934020321,2.78227513530409,135564372.198142,1.4375600175804,0.547309305524858
"1979",146645143,488393093,488407150,-0.00253244120388177,0.261757211919793,2.77523810130919,175987476.450975,1.8662171751957,0.952232568751943
"1980",153382569,475241347,475336937,-0.0686231339084181,0.041378259855793,2.5911801074541,183444190.402893,1.9452901179313,0.995981692217669
"1981",132938654,533643101,533759369,0.0157386958655723,0.0988498678209805,2.63228451953599,202774192.925805,2.15027051444765,0.863230199072094
"1982",169303289,429903144,429922796,-0.0213876284354727,-0.194274103049215,2.5765839708604,166857669.248185,1.76940231454953,1.09936205512529
"1983",165662367,399516651,399615428,-0.090246315313987,0.0170991262225608,2.3542404855317,169742823.834647,1.79999724750119,1.07571991848334
"1984",152357910,409251980,409449715,0.134372659377508,-0.110118220700638,2.69282498639701,152052107.756116,1.61240027268769,0.989328122575306
"1985",157937316,307157757,307190681,0.0195030096695461,-0.306424465776408,2.74585865521044,111874178.380262,1.18634301351729,1.02555770371793
"1986",157586562,253215511,253414147,-0.0884714333808852,-0.104633123583542,2.51336476606394,100826648.969405,1.06919212559167,1.02328010095805
"1987",169051944,254462399,254804462,-0.0861738229588498,0.0913641045032805,2.30584816610441,110503573.368613,1.17180875991736,1.09772995950933
"1988",188195958,288881243,289377451,-0.0750074745278653,0.203910526886299,2.13921962684954,135272436.438035,1.43446425451502,1.22204061347652
"1989",188098486,260517462,260871939,0.0389783188171925,-0.146756160353147,2.22424920116693,117285391.791143,1.24372493414985,1.22140768414083
"1990",179312780,265574156,265741100,-0.00103491532579245,0.0209545582023496,2.22194848231021,119598227.463718,1.26825084782626,1.16435816158911
"1991",173335517,293713504,293758214,0.0403693067606532,0.0600002083406997,2.31348214694082,126976650.495637,1.34649357319349,1.12554511681888
"1992",155811519,230741332,231034213,-0.123515899184873,-0.117182770400043,2.04467307920439,112993228.770782,1.1982097161987,1.0117539520454
"1993",172811015,250900846,251148598,-0.0272043022339439,0.111188302827447,1.98979896498279,126218076.509137,1.33844945647103,1.12213929050538
